customer_id,customer_name,email,phone,gender,age,city,state,country,signup_date,loyalty_score,total_orders,churn_flag
CUST10000,Robert Taylor,davismichael@yahoo.com,450-145-0753x550,,33,Carpenterstad,Louisiana,India,2023-05-24,5,6,0
CUST10001,Danielle Chan,blakewendy@meyers.biz,+1-491-367-4189x2535,,56,Cherylport,Rhode Island,India,2024-10-27,38,9,0
CUST10002,Kayla Dunn,xbrooks@gmail.com,001-952-037-2738x155,F,63,Joseshire,New York,India,2025-04-02,39,3,1
CUST10003,Kristin Castaneda,johnbentley@yahoo.com,001-523-251-0048x9168,,36,East Angelaborough,Texas,India,2024-10-08,55,8,1
CUST10004,Lisa Myers,frankjackson@davis.com,491.207.4792x96966,M,61,Aguirrebury,North Dakota,India,2023-02-26,1,3,0
CUST10005,Mario Harrington,jessica84@shannon-lopez.com,001-942-932-1988x804,M,45,Angelastad,Louisiana,India,2022-12-24,89,8,0
CUST10006,Heather Li,deannafisher@yahoo.com,+1-064-326-4518x48456,,42,South Brian,Arizona,India,2023-10-05,41,3,0
CUST10007,Mark Bass,rjames@gmail.com,(733)621-9028x730,F,38,Jasonhaven,Arkansas,India,2024-08-09,61,4,0
CUST10008,Charles Williams MD,dylanbarker@porter-moore.biz,+1-944-559-8216x294,F,35,Riverachester,Nevada,India,2025-08-21,38,7,0
CUST10009,Kimberly Ruiz,veronica15@cruz.biz,677-406-4073,F,55,Dustinland,Massachusetts,India,2023-06-15,36,5,1
CUST10010,Jason Lee,traceyanderson@joyce.com,977.285.4279x1823,F,67,Port Cody,North Carolina,India,2022-03-04,30,2,0
CUST10011,Brian Osborn,ywilkins@yahoo.com,+1-792-718-5182x59235,,26,Jamesstad,South Dakota,India,2023-10-20,16,9,0
CUST10012,Brian Vaughan,walkerjohn@ballard.com,4731687945,,47,South Andrea,Connecticut,India,2022-12-04,48,9,0
CUST10013,Luke Sharp,jacksonpaul@evans.info,001-548-771-1733x74539,M,18,Batesshire,Nebraska,India,2025-07-09,42,1,0
CUST10014,Jose Walker,banksbrenda@rivera.com,4458776491,M,45,Lake Donaldside,Massachusetts,India,2025-08-11,50,7,0
CUST10015,Joshua Rodriguez MD,andre32@hotmail.com,001-094-284-0670x36036,,18,Lake Jennifer,Connecticut,India,2024-05-19,51,5,0
CUST10016,Michael Evans,xalexander@allen.com,001-996-755-6613x45469,M,20,Lake Leahview,New Jersey,India,2023-11-30,79,5,0
CUST10017,Colin Gates,angelicaclarke@hotmail.com,+1-613-164-4528x318,F,32,New Alexanderport,Tennessee,India,2023-08-26,51,9,0
CUST10018,Brittney Smith,melissaknapp@yahoo.com,(082)567-8058x549,M,51,Lake Jeffreyborough,North Dakota,India,2025-03-14,55,8,0
CUST10019,Heather Martin,lisareid@rogers.org,+1-177-284-1389x5402,M,41,Charlesmouth,Virginia,India,2023-04-14,1,3,1
CUST10020,Susan Davis,juliedalton@yahoo.com,3680459274,,60,Mosesfurt,Colorado,India,2023-12-09,46,2,0
CUST10021,Dawn Matthews,yreyes@hotmail.com,1921701811,,33,Jamesland,New Hampshire,India,2022-07-01,48,6,0
CUST10022,Roberta Mitchell,holtamanda@gmail.com,(384)106-8889x433,F,68,Theresafurt,Oklahoma,India,2023-11-22,29,2,0
CUST10023,Curtis Barry DDS,elizabethmorris@evans.com,783-798-1806,,43,New Sarah,Georgia,India,2022-07-16,36,4,0
CUST10024,Julie Flores PhD,fhester@garcia-taylor.biz,(295)221-4522x85610,M,64,Lake Christinashire,New Jersey,India,2025-03-30,32,6,0
CUST10025,Spencer King,williamssummer@hotmail.com,999-266-5462,F,32,Port Christinestad,North Carolina,India,2022-05-10,55,6,0
CUST10026,Christopher Beasley,theresa66@kidd.com,+1-955-531-2166x495,,68,East Kayleestad,Texas,India,2025-10-28,64,5,0
CUST10027,Andrea Reeves,danielle22@yahoo.com,+1-609-428-5294,,42,Davidside,Massachusetts,India,2022-03-02,57,4,1
CUST10028,Randall Cabrera,chelsea58@nguyen-novak.net,001-008-953-3130,,61,West Davidmouth,Tennessee,India,2023-05-18,32,8,0
CUST10029,Robert Rodriguez,crawfordcindy@robinson.com,175-935-3442,,59,Rollinsstad,Pennsylvania,India,2023-12-30,20,7,0
CUST10030,John Dennis,dpark@yahoo.com,548-026-2794x38265,F,39,New Jonathanland,Kentucky,India,2022-11-24,34,4,0
CUST10031,Holly Guzman,edwardserin@hotmail.com,(678)139-3305,,26,West Leslieborough,Montana,India,2023-11-21,18,4,0
CUST10032,Scott Garcia,calvinrodriguez@hotmail.com,370-131-8498,,19,Mariaside,New Jersey,India,2024-02-01,69,0,0
CUST10033,Dana Valdez,michael35@yahoo.com,746.862.9484,,66,Shieldschester,Nebraska,India,2025-09-14,53,9,0
CUST10034,Tommy Berry,laurie88@hotmail.com,857.351.3417,F,37,Cruzville,Connecticut,India,2025-08-07,9,4,1
CUST10035,Carrie Hamilton,wmelton@hotmail.com,328-718-2313x101,F,53,Richardport,Montana,India,2022-08-20,51,6,0
CUST10036,Daisy Taylor,wmartinez@yahoo.com,019-496-5777x489,F,57,West Tanya,Maryland,India,2023-08-24,34,9,0
CUST10037,Richard Warren,renee28@carpenter.com,344.726.8616x3523,F,28,South Charlesville,Tennessee,India,2022-06-20,69,4,0
CUST10038,Eric Sanders,johnsonjames@mason-ryan.com,+1-383-631-7702,F,46,East Joanna,Connecticut,India,2023-09-12,58,2,0
CUST10039,Stephen Allison,ethancarson@mcdonald.com,001-995-114-0928,M,22,Richardborough,Missouri,India,2023-09-29,39,7,1
CUST10040,Lori Duncan,smithrichard@lopez.info,015.122.9469,F,49,West Katrinastad,California,India,2024-02-24,3,8,1
CUST10041,Mrs. Kathryn Lucas,mcleanheather@yahoo.com,671.060.1014x561,M,23,Port Richardbury,New Mexico,India,2024-12-07,41,7,0
CUST10042,Russell Hernandez,shellylopez@dorsey.com,(275)229-2275x044,,46,Waltershire,Alabama,India,2024-07-26,38,2,0
CUST10043,Mr. Matthew Fisher,andrew30@yahoo.com,010-842-5039x9358,,39,Barbaraville,Wyoming,India,2024-07-17,28,5,0
CUST10044,Tommy Allen,victoriastephens@williams-gibson.biz,298-797-9145x42299,,62,New Destinyburgh,Alabama,India,2022-09-13,43,6,0
CUST10045,Jennifer Adams,brookemoses@carpenter-roach.com,670-141-7438x568,F,53,Lake Thomas,Rhode Island,India,2024-03-11,25,7,0
CUST10046,Austin Gilbert,steven94@alexander-bell.com,001-680-229-7577,,60,East Tinachester,Texas,India,2023-12-10,56,2,0
CUST10047,Thomas Jones,igentry@gmail.com,6967797794,F,60,Donaldmouth,South Dakota,India,2025-10-20,21,8,0
CUST10048,Zachary Bailey PhD,grahamclaudia@wilson-payne.com,952.415.6472x315,,46,South Kenneth,Delaware,India,2022-10-25,34,4,0
CUST10049,Jared Johnson,wernerdavid@hotmail.com,+1-320-232-4083x2824,M,32,West Tanyaside,Arkansas,India,2022-11-25,37,3,0
CUST10050,Christine Camacho,karinarobinson@hotmail.com,811.743.4738x075,F,43,West Morgan,Ohio,India,2024-04-08,24,6,0
CUST10051,Kyle Mckinney,crawfordlarry@hotmail.com,001-912-747-0867x216,M,61,Zacharyview,Nevada,India,2025-09-30,8,4,0
CUST10052,Terry Hughes,lisabush@yahoo.com,424-847-0390x7599,M,50,Port Melissabury,Minnesota,India,2025-10-24,77,2,1
CUST10053,Justin Medina,pday@yahoo.com,293.954.1295x1159,,24,Natalieside,Utah,India,2025-10-05,3,6,0
CUST10054,Brittany Doyle,ctaylor@allen.biz,001-827-259-6377x2943,F,49,North Allisonmouth,Connecticut,India,2024-07-29,50,4,0
CUST10055,Dr. Traci Gray,freemanandrea@clark.com,001-694-396-8686,,47,Kathleenville,Kentucky,India,2023-02-15,49,8,0
CUST10056,Richard Tucker,prattmark@yahoo.com,+1-459-686-4738x5944,F,21,West Brittanyview,Arizona,India,2025-08-26,57,5,0
CUST10057,James Acevedo,jeffrey42@hotmail.com,001-724-304-8968x99380,F,45,South Linda,Missouri,India,2022-02-04,43,6,0
CUST10058,Alexis Sanders,michael26@hotmail.com,(717)401-8363x0247,F,25,Port Markchester,North Carolina,India,2024-06-15,52,3,0
CUST10059,Jessica Brooks,rebecca41@williams.net,(232)183-7981x78993,M,49,Jonesstad,Oregon,India,2024-08-20,46,8,0
CUST10060,Alexandra Dean,breannarodriguez@reed.com,925-448-2136x788,,27,Martinezbury,Massachusetts,India,2023-08-03,8,6,0
CUST10061,Kelly Stephens,kylepacheco@yahoo.com,214.312.1825x4576,F,22,Patrickland,New Hampshire,India,2022-10-22,94,7,0
CUST10062,Billy Valdez,david44@hotmail.com,295.246.0974x783,,47,Paulport,Montana,India,2022-12-27,74,3,0
CUST10063,Latoya Mcintosh MD,fowlerkyle@hotmail.com,(433)569-9550x240,F,57,Port Devinchester,Indiana,India,2023-02-13,49,5,0
CUST10064,Bradley Robinson,veronica42@baldwin.com,7036810112,,46,Port Peter,New York,India,2024-05-15,36,2,0
CUST10065,Diana Mathis,andersondevon@holloway.com,+1-144-015-3623x1436,,53,Karenchester,Indiana,India,2025-11-03,30,4,0
CUST10066,Pamela Soto,hgriffin@freeman-bishop.com,(469)771-8788,F,59,North Nathaniel,Kansas,India,2025-03-26,39,7,0
CUST10067,Cassidy Rodriguez,davidgraham@valencia.com,+1-903-593-8205x78717,,63,Lake Patrick,South Dakota,India,2024-08-06,33,2,0
CUST10068,Justin Mcgrath,ryanstuart@hotmail.com,(419)874-4176x82007,F,68,Smithburgh,Vermont,India,2025-04-29,53,7,0
CUST10069,Natalie Hines,oliviahopkins@gmail.com,001-801-678-6545x98867,,41,South Dennis,Wyoming,India,2025-01-25,44,3,0
CUST10070,Aaron Montoya,sara36@gmail.com,+1-972-830-8239x6234,F,37,Port Evanchester,Mississippi,India,2022-09-02,57,6,0
