customer_id,customer_name,email,city,state,country,signup_date,loyalty_score
CUST0000,Sharon Simpson,shawnamalone@example.com,Michaeltown,New Mexico,India,2024-02-07,18
CUST0001,Jeremy Robinson,iestrada@example.com,Shafferfurt,New Mexico,India,2025-08-02,26
CUST0002,Logan White,ryancline@example.net,Evansmouth,Montana,India,2025-05-19,55
CUST0003,Austin Lee,rachelkeller@example.com,Andersenville,Maryland,India,2025-02-26,66
CUST0004,Antonio Pratt,gracemay@example.org,New Andrea,Minnesota,India,2024-01-22,24
CUST0005,Lisa Wood,bridget46@example.org,Ericton,Idaho,India,2025-07-13,41
CUST0006,Rebekah Mccoy,ohurst@example.com,Fernandezchester,Massachusetts,India,2024-10-23,58
CUST0007,Misty Barajas,allenrenee@example.net,Cherylberg,Arizona,India,2024-03-11,61
CUST0008,Rebekah Harrison,morgangabrielle@example.net,Donnamouth,North Dakota,India,2023-12-18,53
CUST0009,Shane Myers,anthonyblair@example.net,East Jessicamouth,Idaho,India,2025-08-04,86
CUST0010,Russell Lane,carlybird@example.com,Lake Monica,New Mexico,India,2024-07-16,33
CUST0011,James Powers,rebekahhuber@example.org,North Stephanie,Colorado,India,2024-06-26,20
CUST0012,Jose Mercer,linda38@example.com,Nicoleview,Alabama,India,2024-02-03,36
CUST0013,Michael Carlson,gwise@example.com,Williamstad,Arkansas,India,2024-05-18,85
CUST0014,David Pena,tina86@example.net,Laurenview,Oklahoma,India,2025-09-25,71
CUST0015,Brittany Henry,patrickstevenson@example.org,Kellychester,Washington,India,2025-03-21,90
CUST0016,Mr. Justin Henderson DVM,johnsonmelinda@example.com,South Robertmouth,Maine,India,2025-02-06,64
CUST0017,Jeffrey Patterson,chriserickson@example.net,East Joshuabury,Iowa,India,2025-01-21,72
CUST0018,Matthew Jones,lburton@example.org,Jeffreyview,California,India,2024-09-12,33
CUST0019,Cody Brown,travisthomas@example.net,Lake Marissa,Virginia,India,2024-09-28,21
CUST0020,Brian Carter,ashley44@example.net,Lake James,Texas,India,2025-06-15,29
CUST0021,Mr. John Smith,barneswendy@example.com,West Travishaven,Tennessee,India,2025-08-31,78
CUST0022,Jean Perez,cherylcastaneda@example.org,West Darin,Wyoming,India,2023-12-10,81
CUST0023,Jesus Hernandez PhD,wyoung@example.org,Lake Roseberg,Mississippi,India,2025-08-22,40
CUST0024,Jacob Jones,joegoodwin@example.org,Flynnhaven,Arizona,India,2024-08-07,93
CUST0025,Arthur Jackson,kennethbailey@example.org,Emilymouth,Colorado,India,2025-10-10,55
CUST0026,James Greer,nathaniel37@example.com,South Nathan,Idaho,India,2024-02-15,19
CUST0027,Heather Aguilar,xrogers@example.org,South Emily,Kansas,India,2024-03-06,39
CUST0028,Michael Valenzuela,pmeyer@example.org,Rivasshire,Texas,India,2025-03-30,57
CUST0029,Douglas Mcdaniel,hensleyjohn@example.com,Smithshire,Mississippi,India,2025-01-30,92
CUST0030,Thomas Nelson,nfoster@example.org,Gomezfurt,Arizona,India,2024-10-15,75
CUST0031,Victor Lopez,ericksonsabrina@example.com,Daviston,Michigan,India,2024-07-26,11
CUST0032,Edward Allen,frenchbrian@example.com,Brownmouth,Michigan,India,2025-04-09,23
CUST0033,Sandra Holmes,john12@example.org,Hernandezmouth,Connecticut,India,2025-07-01,26
CUST0034,Erin Andrews,ckramer@example.org,New Angelahaven,Georgia,India,2023-12-11,7
CUST0035,Anthony Mason,karenroberts@example.org,Prattmouth,Michigan,India,2024-03-27,49
CUST0036,Kayla Bauer,fuentesfelicia@example.org,New Christophertown,Vermont,India,2024-09-11,29
CUST0037,Deborah Coleman,williamskimberly@example.net,Fryeland,Georgia,India,2024-02-13,83
CUST0038,John Dougherty,hhill@example.com,Port Andrewchester,Connecticut,India,2025-08-05,64
CUST0039,Diane Farrell,zrobinson@example.org,Lake Katiebury,Montana,India,2024-09-14,25
CUST0040,Lisa Christian,wilsondarryl@example.org,Millsborough,California,India,2024-05-24,47
CUST0041,Maria King,carolmeyer@example.net,North Bobbyside,South Dakota,India,2024-10-31,87
CUST0042,Matthew Hunter,raymondcarroll@example.net,Port Randy,Oregon,India,2025-08-28,93
CUST0043,Jennifer Moore,colemanallen@example.com,Carlsonhaven,Connecticut,India,2025-09-25,23
CUST0044,Richard Silva,josemolina@example.com,Port Amandatown,New Hampshire,India,2024-06-16,85
CUST0045,Anthony Lloyd,brandi95@example.net,Romerostad,Montana,India,2024-03-25,10
CUST0046,Jonathan Russell,morenomichael@example.org,Jenniferhaven,Iowa,India,2025-06-14,31
CUST0047,Cynthia Maddox,patrick02@example.org,South Christopherborough,Tennessee,India,2024-03-12,70
CUST0048,Gabrielle Gill,mooreronnie@example.net,Lake Williamfurt,Alabama,India,2025-09-05,29
CUST0049,James Wilkerson II,spham@example.net,North Leonard,Hawaii,India,2024-01-27,14
CUST0050,April Woodward,dana54@example.net,Aliciashire,Colorado,India,2025-08-19,85
CUST0051,Jacob Mathis,apeterson@example.com,Lake James,Minnesota,India,2024-09-30,70
CUST0052,Carolyn Miller,ronaldoliver@example.com,North Benjamin,California,India,2024-09-27,26
CUST0053,Ashley Reyes,anthonyvalentine@example.org,East Williamstad,Utah,India,2024-09-18,52
CUST0054,Lynn Sutton,dominicfowler@example.org,West Markhaven,Missouri,India,2025-09-01,45
CUST0055,Laurie Lawson,erin75@example.com,Caseytown,Wyoming,India,2024-11-04,80
CUST0056,Jennifer Watts,teresalee@example.com,Powersstad,Kentucky,India,2024-03-21,21
CUST0057,Mr. Marc Roy,matthew37@example.com,Faulknerland,Louisiana,India,2024-06-23,44
CUST0058,Jade Craig,alan96@example.com,Melissaville,New Hampshire,India,2025-10-28,28
CUST0059,Paul Gonzalez,ymoore@example.net,Prestonport,Alaska,India,2025-11-05,82
CUST0060,Jason Castro,adrianajones@example.net,New Davidhaven,Indiana,India,2025-07-14,80
CUST0061,Brenda Coleman,michaelharrison@example.com,Lake Georgeshire,Montana,India,2025-04-03,73
CUST0062,Travis Henderson,bentleydavid@example.net,South Annette,Massachusetts,India,2025-05-21,19
CUST0063,Erin Stevenson,jodi04@example.org,Feliciaburgh,Colorado,India,2025-01-26,79
CUST0064,Kenneth Castro,cjennings@example.com,Robertside,Arkansas,India,2025-09-26,17
CUST0065,Kevin Lambert MD,uobrien@example.org,Freemanton,Vermont,India,2025-01-25,14
CUST0066,Roberto Wright,ojohnston@example.net,North Michaelville,Massachusetts,India,2024-02-27,47
CUST0067,Ashley Moore,elizabeth34@example.org,Guerrerostad,Nevada,India,2024-01-13,46
CUST0068,John Guzman,gmayo@example.net,Kennedyview,South Dakota,India,2025-02-19,71
CUST0069,George Brown,david29@example.net,Karenview,New Hampshire,India,2025-09-25,16
CUST0070,Anthony Sullivan,meganbuchanan@example.net,Sergiomouth,Oregon,India,2024-02-13,99
CUST0071,Mrs. Rebecca Choi MD,hamiltonhenry@example.net,Mariashire,Pennsylvania,India,2024-07-10,91
CUST0072,James Mckay,richardgood@example.com,Toddhaven,Utah,India,2024-10-10,35
CUST0073,Daniel Phillips,eric81@example.net,Castroburgh,Massachusetts,India,2025-03-08,18
CUST0074,Alan Cole,melissa13@example.org,Michaelmouth,South Carolina,India,2025-01-04,96
CUST0075,Jillian Davis,harrisanne@example.org,Fergusonfurt,Oregon,India,2024-01-13,1
CUST0076,Tanner Wood,toddcourtney@example.org,Port Lisafurt,Alabama,India,2024-12-05,53
CUST0077,Christian Phillips,michelethomas@example.org,Allisonborough,New Mexico,India,2025-02-14,56
CUST0078,Kevin Cordova,xtaylor@example.org,Brownberg,Maryland,India,2025-01-22,27
CUST0079,Amanda Walker,michaellam@example.org,East Johntown,Hawaii,India,2025-04-14,99
CUST0080,Catherine Hawkins,brianfarmer@example.com,Haroldland,Iowa,India,2024-08-15,3
CUST0081,Casey Leonard,derek08@example.org,South Debrastad,Tennessee,India,2025-09-18,50
CUST0082,Jason Hall,jennifer23@example.org,Wongview,Alaska,India,2024-09-18,57
CUST0083,John Morgan,hallmelinda@example.net,East Jeffreyside,Tennessee,India,2024-11-09,72
CUST0084,Michael Allison,perrycraig@example.com,Mollychester,Hawaii,India,2025-09-04,7
CUST0085,Kimberly Stevens,leonmichael@example.net,South Tommymouth,Kentucky,India,2024-09-25,47
CUST0086,Melissa Payne,kenneth00@example.net,Stacyfort,Mississippi,India,2024-12-24,36
CUST0087,Robert Soto,ugilbert@example.net,Brightberg,Louisiana,India,2024-04-09,35
CUST0088,James Cruz,cmcmillan@example.org,Frankstad,Maine,India,2024-12-18,86
CUST0089,Jason Rodriguez,wellswilliam@example.net,Erikborough,Maryland,India,2025-01-28,29
CUST0090,Michael Williams,samanthapowers@example.org,Churchbury,Illinois,India,2024-05-05,41
CUST0091,Ronald Gonzalez,ryantaylor@example.net,West Christina,Missouri,India,2025-04-21,34
CUST0092,Stephen Proctor,karen20@example.com,Lake Williamfort,Texas,India,2025-07-24,47
CUST0093,Mia Edwards,william77@example.net,Martinezbury,Rhode Island,India,2023-12-21,2
CUST0094,Amber Baker,keith69@example.org,Port Shellyton,Arkansas,India,2024-08-12,94
CUST0095,Francisco Jones,tanner83@example.net,Mauricefurt,Delaware,India,2025-03-03,60
CUST0096,Alyssa Manning,kelly58@example.net,Port Justinborough,Illinois,India,2024-09-21,95
CUST0097,Carla Lee,xnoble@example.org,Alexanderborough,Hawaii,India,2024-08-09,45
CUST0098,Thomas Hunt,alexander77@example.net,New Frederickmouth,Connecticut,India,2024-08-08,7
CUST0099,Jennifer Jones,byates@example.com,Carlburgh,Minnesota,India,2025-01-02,55
CUST0100,Jonathan Copeland,tharris@example.net,Port Michael,Alaska,India,2025-08-27,6
CUST0101,Larry Rios,rodriguezdaniel@example.com,North Travis,North Carolina,India,2023-11-27,3
CUST0102,Curtis Webster,ryan98@example.net,Port Jillborough,Washington,India,2024-12-21,47
CUST0103,Corey Murray,richardwhite@example.net,Westbury,Utah,India,2024-09-20,44
