customer_id,first_name,last_name,city,region,email,phone,gender,age,signup_date,membership_tier,loyalty_points,highest_freq_purchased_items
C000001,Jennifer,Mcfarland,Delhi,IN,yjoseph@example.com,5204532057,F,34,2023-06-15,Gold,2621,P001029
C000002,Scott,Boyd,Manchester,UK,amy05@example.org,480.611.5059,M,22,2023-02-02,Silver,908,P000339
C000003,Katherine,Macias,Birmingham,UK,andersonkevin@example.org,339-956-2536,M,44,2023-09-30,Standard,771,P000375
C000004,Angelica,Cunningham,Austin,US,jodylawrence@example.net,+1-226-749-1052x1678,M,66,2023-04-18,Standard,657,P000664
C000005,Laura,Bolton,Manchester,UK,johnsondavid@example.com,983-915-0969x8477,F,49,2022-02-22,Standard,2990,P000014
C000006,Kristin,Robinson,Chicago,US,graykylie@example.net,2307516104,F,26,2023-04-03,Standard,1678,P000608
C000007,Katherine,Harris,Austin,US,qward@example.org,776.457.3387x351,F,36,2023-09-18,Silver,492,P000119
C000008,Kelly,Huff,Brisbane,AU,rojastodd@example.com,720-620-1714x3506,M,59,2022-06-11,Silver,2070,P000149
C000009,Melanie,Phillips,Brisbane,AU,ericcohen@example.org,393.376.5373,M,19,2023-11-18,Gold,4467,P001009
C000010,Crystal,Sharp,New York,US,hayesdestiny@example.net,+1-243-559-0916x54150,M,77,2023-02-28,Standard,4690,P000887
C000011,Janet,Koch,Hyderabad,IN,holmeslisa@example.org,799-565-3843x30433,M,40,2022-05-11,Silver,4523,P000039
C000012,Joshua,Oneal,Chicago,US,anthony76@example.org,882-655-6865,M,40,2023-08-07,Silver,1436,P000227
C000013,Felicia,Hughes,Paris,EU,omiller@example.com,(829)214-1564,F,51,2023-08-04,Standard,1462,P000797
C000014,Amanda,Walker,Berlin,EU,carolthomas@example.net,799.353.3825x60034,M,27,2022-11-10,Silver,3854,P000100
C000015,Rebecca,Walton,Hyderabad,IN,mckenziecharles@example.net,316-382-5231x124,F,60,2022-01-21,Silver,463,P000382
C000016,Kevin,Lynch,Paris,EU,harrisjacqueline@example.org,369.287.3660,M,62,2022-11-10,Standard,3376,P000283
C000017,David,Rodriguez,Chicago,US,jessesmith@example.net,6712760285,F,55,2023-04-05,Gold,3622,P000595
C000018,Angela,Hill,San Francisco,US,christophermcgee@example.org,+1-801-247-8886x030,M,73,2022-04-03,Gold,4202,P000066
C000019,Benjamin,Gilbert,Austin,US,catherine95@example.com,+1-600-941-0473x03041,F,25,2022-09-29,Silver,2425,P000064
C000020,Dillon,Erickson,London,UK,watsonjonathan@example.net,5513906689,F,29,2022-07-02,Standard,3813,P001148
C000021,Judith,Graham,Chicago,US,nhoward@example.net,4375828389,M,65,2022-12-28,Standard,4269,P000326
C000022,Joseph,Hudson,Chicago,US,asherman@example.net,+1-959-500-0384x46453,M,57,2023-01-17,Gold,44,P000066
C000023,Kelly,Coleman,Mumbai,IN,cfowler@example.com,7076746921,M,62,2023-10-20,Standard,804,P000030
C000024,Angela,Buchanan,Birmingham,UK,rowlandstephen@example.com,462-347-6159,F,23,2022-03-17,Standard,4327,P001173
C000025,Jennifer,Brown,London,UK,whitney89@example.com,8525692790,M,42,2023-06-16,Gold,4536,P000755
C000026,Christy,Hines,Mumbai,IN,wwilliamson@example.net,775-470-9572x22191,F,51,2022-08-31,Platinum,3130,P000544
C000027,Caroline,Benson,San Francisco,US,smithrebecca@example.org,(940)659-8827x2928,M,26,2023-11-18,Standard,3587,P000100
C000028,Jay,Carter,Brisbane,AU,rthomas@example.com,638-237-7730x5490,F,35,2022-11-20,Standard,1535,P000118
C000029,Justin,Woods,Amsterdam,EU,jhansen@example.net,634-654-7621,F,75,2023-09-12,Standard,826,P000021
C000030,Jennifer,Casey,San Francisco,US,shawconnie@example.com,(944)555-2461x57959,F,67,2022-05-16,Silver,1551,P000129
C000031,Melissa,Smith,Madrid,EU,stephanieshepherd@example.org,4335411923,F,66,2023-09-16,Standard,1872,P000010
