customer_id,name,email,phone,address,city,state,postal_code,country,signup_date,loyalty_score,customer_segment,preferred_categories
c100000,Stephanie Ellison,jasonparrish@hotmail.com,401489025039,42939 Rhodes Plains Suite 621,Brianchester,Iowa,10464,Guam,2021-05-11,43.89,gold,beauty|electronics
c100001,Lisa Larson,anthony47@yahoo.com,586629619431,62655 Christopher Inlet Suite 541,North Jacob,New Hampshire,73506,Moldova,2021-05-18,97.56,silver,clothing|beauty
c100002,Ashley Davis,carlsonkristen@yahoo.com,466183982622,7212 Hill Hills Suite 154,Lake Colleen,Rhode Island,81329,Congo,2024-05-11,37.08,gold,beauty
c100003,Chad Smith,ncook@yahoo.com,756924593752,7935 Ramirez Turnpike Suite 519,New Wendy,Idaho,89854,Seychelles,2023-07-30,82.28,bronze,home
c100004,Tiffany Murray,samuelcarter@hotmail.com,672434266179,868 Krystal Lake Apt. 135,Lake Cheyenne,Oregon,85046,Philippines,2021-05-15,6.38,gold,beauty|home
c100005,Tracy Rivera,grodriguez@yahoo.com,888993756798,71461 Marie Stream Apt. 545,Muellerhaven,New Mexico,46153,Lebanon,2024-01-12,35.45,platinum,grocery
c100006,Nathan Chavez,evanslisa@gmail.com,512382825867,226 Johnson Ridges Apt. 796,Smithborough,Indiana,36984,Sao Tome and Principe,2023-09-17,19.46,bronze,home|electronics
c100007,Rebecca Ray,michaelgonzalez@gmail.com,785969691557,499 Emily Island,East Kevinburgh,Mississippi,91391,Cambodia,2021-08-14,68.3,silver,grocery
c100008,Jennifer Taylor,fhenderson@hotmail.com,827422579050,68876 Perry Ville,Burnsland,Oregon,04545,South Africa,2022-08-23,37.05,bronze,beauty
c100009,Dorothy Hill,gary79@hotmail.com,881914858078,34074 Atkins Corners Suite 133,Michellechester,Hawaii,81261,Burundi,2021-10-04,12.99,bronze,home
c100010,Robin Trujillo,amanda98@gmail.com,449481260422,536 Thomas Roads,Courtneyfurt,New Hampshire,10399,North Macedonia,2023-04-05,43.72,gold,beauty|clothing
c100011,Patricia Powell,heather57@yahoo.com,901751863637,5892 Kramer Springs Apt. 017,North Sarahburgh,New Hampshire,60337,Afghanistan,2022-04-02,83.23,gold,grocery|home
c100012,Jessica Forbes DVM,erik41@hotmail.com,415206436110,29387 Alan Junctions Apt. 627,East Patrickville,Connecticut,41572,Heard Island and McDonald Islands,2021-12-16,13.98,bronze,beauty|electronics
c100013,Breanna Ayala,darlenebyrd@gmail.com,927532697311,656 Moody Gateway,Deannabury,Oklahoma,79275,Netherlands Antilles,2024-02-23,66.49,silver,beauty
c100014,Dominique Pugh,abbottdominique@yahoo.com,898364037613,055 Paul Villages,Diazburgh,Wisconsin,62237,Zimbabwe,2023-03-23,56.87,bronze,home
c100015,Mrs. Laurie Smith,billbrown@yahoo.com,866618892414,85691 Hale Stream,North John,Nevada,15703,Korea,2021-06-17,66.84,bronze,clothing|electronics
c100016,Amy Wade,davidzimmerman@hotmail.com,275884252410,8149 Tyler Pass Suite 079,West Eric,Wyoming,13988,Uganda,2023-04-19,55.36,silver,beauty|home
c100017,Miranda Perez,williamsmichelle@gmail.com,756220863536,95180 Jeffrey Path Apt. 617,Kiaraport,Massachusetts,11823,Micronesia,2021-02-14,43.67,bronze,clothing
c100018,Jacob Carter,jodi37@yahoo.com,383206038505,413 Robert Circle Apt. 410,Port April,Vermont,49324,Kuwait,2024-12-20,23.39,bronze,beauty|home
